team,player_full_name,player_short_name
Australia,Sean Abbott,SA Abbott
Australia,Xavier Bartlett,XC Bartlett
Australia,Alex Carey,Alex Carthew
Australia,Tim David,TH David
Australia,Ben Dwarshuis,BJ Dwarshuis
Australia,Jake Fraser-McGurk,J Fraser-McGurk
Australia,Aaron Hardie,AM Hardie
Australia,Josh Hazlewood,JR Hazlewood
Australia,Josh Inglis,JP Inglis
Australia,Glenn Maxwell,GJ Maxwell
Australia,Mitchell Owen,RP Mitchell
Australia,Josh Philippe,JR Philippe
Australia,Marcus Stoinis,MP Stoinis
Australia,Adam Zampa,A Zampa
Australia,Cooper Connolly,C Connolly
Australia,Nathan Ellis,NT Ellis
Australia,Cameron Green,C Green
Australia,Travis Head,TM Head
Australia,Spencer Johnson,SH Johnson
Australia,Matthew Kuhnemann,MP Kuhnemann
Australia,Mitchell Marsh,MR Marsh
Australia,Matthew Short,MW Short
Bangladesh,Syed Khaled Ahmed,Khaled Ahmed
Bangladesh,Afif Hossain,Afif Hossain
Bangladesh,Hasan Mahmud,Hasan Mahmud
Bangladesh,Jaker Ali,Jaker Ali
Bangladesh,Liton Das,Liton Das
Bangladesh,Mahedi Hasan,Mahedi Hasan
Bangladesh,Mehidy Hasan,Hassan Mehmood
Bangladesh,Mohammad Naim,Mohammad Naim
Bangladesh,Mohammad Saifuddin,Mohammad Saifuddin
Bangladesh,Mustafizur Rahman,Mustafizur Rahman
Bangladesh,Nahid Rana,N Rana
Bangladesh,Najmul Hossain Shanto,Nazmul Hossain Shanto
Bangladesh,Nasum Ahmed,Nasum Ahmed
Bangladesh,Nurul Hasan,Nurul Hasan
Bangladesh,Parvez Hossain Emon,Parvez Hossain Emon
Bangladesh,Rishad Hossain,Rishad Hossain
Bangladesh,Saif Hassan,Saif Hassan
Bangladesh,Shamim Hossain,Shamim Hossain
Bangladesh,Shoriful Islam,Shoriful Islam
Bangladesh,Soumya Sarkar,Soumya Sarkar
Bangladesh,Tanvir Islam,Tanvir Islam
Bangladesh,Tanzid Hasan,Tanzid Hasan
Bangladesh,Tanzim Hasan Sakib,Tanzim Hasan Sakib
Bangladesh,Taskin Ahmed,Taskin Ahmed
Bangladesh,Towhid Hridoy,Towhid Hridoy
Canada,Rayyan Pathan,R Pathan
Canada,Saad Bin Zafar,Saad Bin Zafar
Canada,Aaron Johnson,Aaron Jones
Canada,Pargat Singh,Pargat Singh
Canada,Harsh Thaker,H Thaker
Canada,Navneet Dhaliwal,NS Dhaliwal
Canada,Nicholas Kirton,NR Kirton
Canada,Dilpreet Bajwa,DS Bajwa
Canada,Nikhil Dutta,N Dutta
Canada,Shreyas Movva,S Movva
Canada,Kaleem Sana,Kaleem Sana
Canada,Ravinderpal Singh,Ravinderpal Singh
Canada,Dillon Heyliger,D Heyliger
Canada,Rizwan Cheema,Rizwan Cheema
England,Jofra Archer,JC Archer
England,Gus Atkinson,JJ Atkinson
England,Tom Banton,T Banton
England,Jacob Bethell,JG Bethell
England,Jos Buttler,JC Buttler
England,Jordan Cox,CJ Jordan
England,Sam Curran,SM Curran
England,Liam Dawson,LA Dawson
England,Ben Duckett,BM Duckett
England,Will Jacks,WG Jacks
England,Liam Livingstone,LS Livingstone
England,Saqib Mahmood,S Mahmood
England,Dan Mousley,DR Mousley
England,Jamie Overton,J Overton
England,Adil Rashid,AU Rashid
England,Rehan Ahmed,Rehan Ahmed
England,Phil Salt,PD Salt
England,John Turner,AJ Turner
England,Luke Wood,Luka Woods
England,Mark Wood,MA Wood
England,Sonny Baker,S Baker
England,Harry Brook,HC Brook
England,Brydon Carse,BA Carse
