match_id,match_type,season,date,venue,city,country,teams,team1,team2,toss_winner,toss_decision,winner,result,player_of_match,balls_per_over,team_type,gender
1001349,T20,2016/17,2017-02-17,Melbourne Cricket Ground,,,"Australia,Sri Lanka",Australia,Sri Lanka,Sri Lanka,field,Sri Lanka,"{""wickets"": 5}",DAS Gunaratne,6,international,male
1001351,T20,2016/17,2017-02-19,"Simonds Stadium, South Geelong",Victoria,,"Australia,Sri Lanka",Australia,Sri Lanka,Sri Lanka,field,Sri Lanka,"{""wickets"": 2}",DAS Gunaratne,6,international,male
1001353,T20,2016/17,2017-02-22,Adelaide Oval,,,"Australia,Sri Lanka",Australia,Sri Lanka,Sri Lanka,field,Australia,"{""runs"": 41}",A Zampa,6,international,male
1004729,T20,2016,2016-09-05,"Bready Cricket Club, Magheramason",Londonderry,,"Ireland,Hong Kong",Ireland,Hong Kong,Hong Kong,bat,Hong Kong,"{""runs"": 40}",,6,international,male
1007655,T20,2016,2016-06-18,Harare Sports Club,,,"Zimbabwe,India",Zimbabwe,India,India,field,Zimbabwe,"{""runs"": 2}",E Chigumbura,6,international,male
1007657,T20,2016,2016-06-20,Harare Sports Club,,,"Zimbabwe,India",Zimbabwe,India,Zimbabwe,bat,India,"{""wickets"": 10}",BB Sran,6,international,male
1007659,T20,2016,2016-06-22,Harare Sports Club,,,"Zimbabwe,India",Zimbabwe,India,Zimbabwe,field,India,"{""runs"": 3}",KM Jadhav,6,international,male
1019979,T20,2016/17,2017-01-03,McLean Park,Napier,,"New Zealand,Bangladesh",New Zealand,Bangladesh,Bangladesh,bat,New Zealand,"{""wickets"": 6}",KS Williamson,6,international,male
1019981,T20,2016/17,2017-01-06,Bay Oval,Mount Maunganui,,"New Zealand,Bangladesh",New Zealand,Bangladesh,Bangladesh,field,New Zealand,"{""runs"": 47}",C Munro,6,international,male
1019983,T20,2016/17,2017-01-08,Bay Oval,Mount Maunganui,,"New Zealand,Bangladesh",New Zealand,Bangladesh,Bangladesh,field,New Zealand,"{""runs"": 27}",CJ Anderson,6,international,male
1020029,T20,2016/17,2017-02-17,Eden Park,Auckland,,"New Zealand,South Africa",New Zealand,South Africa,New Zealand,field,South Africa,"{""runs"": 78}",Imran Tahir,6,international,male
1031431,T20,2017,2017-06-21,The Rose Bowl,Southampton,,"England,South Africa",England,South Africa,South Africa,bat,England,"{""wickets"": 9}",JM Bairstow,6,international,male
1031433,T20,2017,2017-06-23,County Ground,Taunton,,"England,South Africa",England,South Africa,England,field,South Africa,"{""runs"": 3}",CH Morris,6,international,male
1031435,T20,2017,2017-06-25,Sophia Gardens,Cardiff,,"England,South Africa",England,South Africa,South Africa,field,England,"{""runs"": 19}",DJ Malan,6,international,male
1031665,T20,2017,2017-09-16,Riverside Ground,Chester-le-Street,,"West Indies,England",West Indies,England,England,field,West Indies,"{""runs"": 21}",SP Narine,6,international,male
1034825,T20,2016/17,2017-01-26,Green Park,Kanpur,,"India,England",India,England,England,field,England,"{""wickets"": 7}",MM Ali,6,international,male
1034827,T20,2016/17,2017-01-29,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,,"India,England",India,England,England,field,India,"{""runs"": 5}",JJ Bumrah,6,international,male
1034829,T20,2016/17,2017-02-01,M Chinnaswamy Stadium,Bangalore,,"India,England",India,England,England,field,India,"{""runs"": 75}",YS Chahal,6,international,male
1041615,T20,2016,2016-08-27,Central Broward Regional Park Stadium Turf Ground,Lauderhill,,"India,West Indies",India,West Indies,India,field,West Indies,"{""runs"": 1}",E Lewis,6,international,male
1041617,T20,2016,2016-08-28,Central Broward Regional Park Stadium Turf Ground,Lauderhill,,"India,West Indies",India,West Indies,India,field,,null,,6,international,male
1050217,T20,2016/17,2016-09-23,Dubai International Cricket Stadium,,,"Pakistan,West Indies",Pakistan,West Indies,Pakistan,field,Pakistan,"{""wickets"": 9}",Imad Wasim,6,international,male
1050219,T20,2016/17,2016-09-24,Dubai International Cricket Stadium,,,"Pakistan,West Indies",Pakistan,West Indies,West Indies,field,Pakistan,"{""runs"": 16}",Sarfraz Ahmed,6,international,male
1050221,T20,2016/17,2016-09-27,Sheikh Zayed Stadium,Abu Dhabi,,"Pakistan,West Indies",Pakistan,West Indies,Pakistan,field,Pakistan,"{""wickets"": 8}",Imad Wasim,6,international,male
1072316,T20,2017/18,2018-02-03,Sydney Cricket Ground,,,"New Zealand,Australia",New Zealand,Australia,Australia,field,Australia,"{""wickets"": 7}",B Stanlake,6,international,male
1072317,T20,2017/18,2018-02-07,Bellerive Oval,Hobart,,"England,Australia",England,Australia,Australia,field,Australia,"{""wickets"": 5}",GJ Maxwell,6,international,male
1072318,T20,2017/18,2018-02-10,Melbourne Cricket Ground,,,"England,Australia",England,Australia,Australia,field,Australia,"{""wickets"": 7}",KW Richardson,6,international,male
1072319,T20,2017/18,2018-02-13,Westpac Stadium,Wellington,,"New Zealand,England",New Zealand,England,England,field,New Zealand,"{""runs"": 12}",KS Williamson,6,international,male
