full_name,team,role,matches_played,innings_batted,runs,balls_faced,batting_average,strike_rate,fifties,hundreds,fours,sixes,highest_score,wickets,balls_bowled,runs_conceded,bowling_average,economy,catches,stumpings,run_outs,confidence
Babar Azam,Pakistan,Batter,122.0,2.0,4251.0,3389.0,2125.5,125.44,0.0,1.0,453.0,73.0,122.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,100.0
Jos Buttler,England,Batter,128.0,3.0,3831.0,2642.0,1277.0,145.0,0.0,1.0,344.0,172.0,101.0,0.0,0.0,0.0,0.0,0.0,82.0,15.0,6.0,85.71428571428572
Mohammad Rizwan,Pakistan,Batter,91.0,2.0,3386.0,2766.0,1693.0,122.42,0.0,1.0,284.0,94.0,104.0,0.0,0.0,0.0,0.0,0.0,53.0,12.0,8.0,100.0
Paul Stirling,Ireland,All-rounder,120.0,2.0,2975.0,2276.0,1487.5,130.71,0.0,1.0,346.0,106.0,115.0,18.0,490.0,577.0,32.05555555555556,7.07,31.0,0.0,1.0,83.33333333333334
Glenn Maxwell,Australia,All-rounder,111.0,3.0,2723.0,1829.0,907.67,148.88,0.0,1.0,228.0,143.0,145.0,52.0,1095.0,1491.0,28.673076923076923,8.17,60.0,0.0,2.0,78.26086956521739
David Miller,South Africa,Batter,113.0,3.0,2585.0,1904.0,861.67,135.77,0.0,1.0,167.0,130.0,106.0,0.0,0.0,0.0,0.0,0.0,82.0,1.0,5.0,76.19047619047619
Quinton de Kock,South Africa,Batter,91.0,2.0,2565.0,1920.0,1282.5,133.59,0.0,1.0,263.0,101.0,100.0,0.0,0.0,0.0,0.0,0.0,81.0,18.0,2.0,75.0
Reeza Hendricks,South Africa,Batter,85.0,2.0,2454.0,1936.0,1227.0,126.76,0.0,1.0,264.0,68.0,117.0,0.0,30.0,66.0,0.0,13.2,38.0,0.0,0.0,81.4814814814815
Liton Das,Bangladesh,Batter,104.0,2.0,2355.0,1895.0,1177.5,124.27,1.0,0.0,233.0,73.0,83.0,0.0,0.0,0.0,0.0,0.0,69.0,13.0,2.0,100.0
Sikandar Raza,Zimbabwe,All-rounder,99.0,2.0,2283.0,1749.0,1141.5,130.53,0.0,1.0,169.0,114.0,133.0,92.0,1724.0,1940.0,21.08695652173913,6.75,37.0,0.0,2.0,100.0
Max O'Dowd,Netherlands,Batter,81.0,4.0,2211.0,1873.0,552.75,118.05,0.0,1.0,232.0,55.0,133.0,4.0,112.0,158.0,39.5,8.46,34.0,0.0,1.0,84.21052631578947
Fakhar Zaman,Pakistan,Batter,96.0,2.0,2178.0,1693.0,1089.0,128.65,1.0,0.0,207.0,84.0,91.0,0.0,6.0,12.0,0.0,12.0,52.0,0.0,0.0,100.0
KL Rahul,India,Batter,66.0,3.0,2149.0,1599.0,716.33,134.4,0.0,1.0,181.0,96.0,110.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,1.0,100.0
Pathum Nissanka,Sri Lanka,Batter,66.0,3.0,2069.0,1708.0,689.67,121.14,0.0,1.0,205.0,56.0,107.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,80.0
Rovman Powell,West Indies,Batter,91.0,2.0,2029.0,1504.0,1014.5,134.91,0.0,1.0,121.0,135.0,107.0,4.0,119.0,201.0,50.25,10.13,51.0,0.0,0.0,76.19047619047619
Simon Ssesazi,Uganda,Batter,75.0,2.0,1970.0,1676.0,985.0,117.54,0.0,1.0,204.0,71.0,100.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,76.19047619047619
Glenn Phillips,New Zealand,Batter,73.0,2.0,1911.0,1383.0,955.5,138.18,0.0,1.0,136.0,91.0,108.0,8.0,133.0,160.0,20.0,7.22,50.0,2.0,1.0,80.0
Richie Berrington,Scotland,All-rounder,75.0,2.0,1871.0,1466.0,935.5,127.63,1.0,0.0,141.0,71.0,82.0,22.0,425.0,534.0,24.272727272727273,7.54,17.0,0.0,1.0,80.0
Tim Seifert,New Zealand,Batter,71.0,4.0,1864.0,1347.0,466.0,138.38,1.0,0.0,167.0,91.0,97.0,0.0,0.0,0.0,0.0,0.0,39.0,10.0,1.0,85.71428571428572
Kushal Bhurtel,Nepal,All-rounder,67.0,4.0,1791.0,1458.0,447.75,122.84,0.0,1.0,167.0,76.0,104.0,30.0,355.0,384.0,12.8,6.49,38.0,0.0,1.0,78.26086956521739
Mark Chapman,New Zealand,Batter,77.0,3.0,1761.0,1324.0,587.0,133.01,0.0,1.0,151.0,72.0,104.0,3.0,67.0,76.0,25.333333333333332,6.81,40.0,0.0,1.0,81.81818181818181
Daryl Mitchell,New Zealand,Batter,78.0,3.0,1653.0,1227.0,551.0,134.72,1.0,0.0,110.0,63.0,72.0,9.0,107.0,174.0,19.333333333333332,9.76,48.0,0.0,0.0,80.0
Mitchell Hay,New Zealand,Batter,78.0,3.0,1653.0,1227.0,551.0,134.72,1.0,0.0,110.0,63.0,72.0,9.0,107.0,174.0,19.333333333333332,9.76,48.0,0.0,0.0,78.26086956521739
Aasif Sheikh,Nepal,Batter,65.0,2.0,1628.0,1404.0,814.0,115.95,1.0,0.0,150.0,64.0,69.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,0.0,100.0
Dasun Shanaka,Sri Lanka,All-rounder,97.0,3.0,1595.0,1354.0,531.67,117.8,1.0,0.0,116.0,80.0,74.0,35.0,612.0,801.0,22.885714285714286,7.85,34.0,0.0,3.0,78.26086956521739
Tim David,Australia,Batter,57.0,2.0,1594.0,971.0,797.0,164.16,0.0,1.0,126.0,102.0,102.0,6.0,169.0,257.0,42.833333333333336,9.12,38.0,0.0,1.0,82.35294117647058
Devon Conway,New Zealand,Batter,53.0,2.0,1584.0,1270.0,792.0,124.72,1.0,0.0,153.0,43.0,99.0,0.0,0.0,0.0,0.0,0.0,36.0,6.0,0.0,76.19047619047619
Rohit Paudel,Nepal,All-rounder,70.0,6.0,1575.0,1376.0,262.5,114.46,1.0,0.0,126.0,46.0,61.0,14.0,231.0,252.0,18.0,6.55,39.0,0.0,1.0,76.19047619047619
Riazat Ali Shah,Uganda,All-rounder,62.0,2.0,1568.0,1277.0,784.0,122.79,1.0,0.0,116.0,69.0,98.0,48.0,775.0,899.0,18.729166666666668,6.96,26.0,0.0,6.0,100.0
Phil Salt,England,Batter,46.0,2.0,1540.0,949.0,770.0,162.28,0.0,1.0,154.0,75.0,141.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,75.0
Ryan Burl,Zimbabwe,All-rounder,85.0,2.0,1533.0,1252.0,766.5,122.44,1.0,0.0,114.0,60.0,61.0,50.0,950.0,1141.0,22.82,7.21,40.0,0.0,0.0,75.0
Aiden Markram,South Africa,All-rounder,57.0,2.0,1444.0,1016.0,722.0,142.13,1.0,0.0,128.0,63.0,70.0,15.0,380.0,523.0,34.86666666666667,8.26,38.0,0.0,1.0,78.26086956521739
Soumya Sarkar,Bangladesh,All-rounder,81.0,2.0,1434.0,1215.0,717.0,118.02,1.0,0.0,143.0,54.0,68.0,12.0,287.0,416.0,34.666666666666664,8.7,43.0,0.0,2.0,100.0
Rassie van der Dussen,South Africa,Batter,53.0,3.0,1407.0,1130.0,469.0,124.51,1.0,0.0,89.0,62.0,94.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,78.94736842105263
Johnson Charles,West Indies,Batter,61.0,2.0,1403.0,1136.0,701.5,123.5,0.0,1.0,148.0,67.0,118.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,75.0
Shai Hope,West Indies,Batter,53.0,2.0,1315.0,972.0,657.5,135.29,0.0,1.0,103.0,72.0,102.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,75.0
Marcus Stoinis,Australia,All-rounder,64.0,3.0,1310.0,900.0,436.67,145.56,1.0,0.0,111.0,63.0,78.0,51.0,880.0,1232.0,24.15686274509804,8.4,22.0,0.0,0.0,75.0
Harry Tector,Ireland,Batter,68.0,2.0,1308.0,1141.0,654.0,114.64,1.0,0.0,105.0,31.0,64.0,9.0,182.0,196.0,21.77777777777778,6.46,47.0,0.0,3.0,76.19047619047619
Assad Vala,Papua New Guinea,All-rounder,53.0,2.0,1233.0,1088.0,616.5,113.33,1.0,0.0,108.0,38.0,93.0,37.0,539.0,586.0,15.837837837837839,6.52,26.0,0.0,0.0,75.0
Lorcan Tucker,Ireland,Batter,58.0,2.0,1201.0,976.0,600.5,123.05,1.0,0.0,112.0,30.0,94.0,0.0,0.0,0.0,0.0,0.0,48.0,6.0,1.0,76.19047619047619
