team_name,player_count
South Africa,124
Pakistan,123
India,119
Australia,113
England,109
West Indies,109
New Zealand,105
Sri Lanka,100
United Arab Emirates,92
Bangladesh,88
Zimbabwe,83
Canada,66
Scotland,63
Netherlands,61
Ireland,60
Singapore,59
Hong Kong,53
Nepal,52
Qatar,52
Oman,51
Kenya,51
United States of America,50
Malta,48
Saudi Arabia,48
Croatia,48
Romania,47
Germany,47
Bulgaria,46
Italy,46
Sweden,45
Czech Republic,44
Bahrain,44
Austria,43
Panama,43
Bermuda,43
Uganda,43
Hungary,41
Norway,41
Belgium,40
Cyprus,39
Gibraltar,39
Portugal,39
Malaysia,39
Nigeria,37
Kuwait,37
Thailand,36
Philippines,36
Tanzania,35
Switzerland,35
Namibia,35
Mexico,35
Spain,35
Luxembourg,35
Estonia,35
Cayman Islands,35
Maldives,34
Papua New Guinea,34
Indonesia,34
Denmark,33
Guernsey,33
Botswana,33
Finland,32
Ghana,32
Bhutan,32
Serbia,31
Turkey,31
France,31
Japan,30
Rwanda,29
Mozambique,29
Bahamas,29
Jersey,29
South Korea,28
Malawi,28
Samoa,28
Slovenia,27
Argentina,27
Greece,27
Vanuatu,26
Seychelles,25
Eswatini,24
Isle of Man,24
Fiji,24
ICC World XI,23
Sierra Leone,23
Belize,23
Cook Islands,23
Lesotho,21
Israel,20
Cambodia,20
Mongolia,20
Myanmar,20
St Helena,19
Mali,19
Gambia,19
Cameroon,19
Costa Rica,19
Turks and Caicos Island,17
China,16
Suriname,14
Brazil,14
Swaziland,14
Chile,13
Ivory Coast,13
Iran,11
Timor-Leste,11
