id,player_full_name,team,role,matches_played,innings_batted,runs,balls_faced,batting_average,strike_rate,fifties,hundreds,fours,sixes,highest_score,wickets,balls_bowled,runs_conceded,bowling_average,economy,five_wicket_hauls,catches,stumpings,run_outs,dismissal_breakdown
1,Alick Athanaze,West Indies,Batter,13.0,2.0,325.0,259.0,162.5,125.48,1.0,0.0,31.0,17.0,60.0,7.0,7.0,16.0,2.2857142857142856,13.71,1.0,3.0,0.0,1.0,"{'bowled': 1, 'caught': 9, 'lbw': 1, 'stumped': 1}"
2,Aryan Dutt,Netherlands,Bowler,14.0,2.0,114.0,117.0,57.0,97.44,0.0,0.0,7.0,3.0,30.0,521.0,521.0,597.0,1.145873320537428,6.88,26.0,2.0,0.0,0.0,"{'bowled': 4, 'caught': 2, 'run out': 1}"
3,Alei Nao,Papua New Guinea,Bowler,8.0,2.0,67.0,56.0,33.5,119.64,0.0,0.0,5.0,3.0,30.0,385.0,385.0,373.0,0.9688311688311688,5.81,18.0,3.0,0.0,1.0,"{'bowled': 1, 'caught': 2, 'run out': 2}"
4,Assad Vala,Papua New Guinea,All-rounder,53.0,2.0,1233.0,1088.0,616.5,113.33,1.0,0.0,108.0,38.0,93.0,539.0,539.0,586.0,1.0871985157699444,6.52,38.0,26.0,0.0,0.0,"{'bowled': 10, 'caught': 28, 'caught and bowled': 1, 'lbw': 4, 'run out': 1}"
5,Adam Zampa,Australia,Bowler,22.0,2.0,59.0,75.0,29.5,78.67,0.0,0.0,6.0,0.0,13.0,2305.0,2305.0,2846.0,1.23470715835141,7.41,103.0,15.0,0.0,0.0,"{'bowled': 2, 'caught': 9, 'run out': 3}"
6,Andre Russell,West Indies,All-rounder,71.0,2.0,1112.0,706.0,556.0,157.51,1.0,0.0,65.0,95.0,71.0,1234.0,1234.0,1895.0,1.5356564019448946,9.21,73.0,17.0,0.0,3.0,"{'bowled': 10, 'caught': 34, 'caught and bowled': 1, 'lbw': 2, 'run out': 3}"
7,Andre Fletcher,West Indies,Batter,56.0,2.0,973.0,913.0,486.5,106.57,1.0,0.0,65.0,53.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,2.0,"{'bowled': 17, 'caught': 21, 'lbw': 4, 'run out': 6, 'stumped': 2}"
8,AF Milne,New Zealand,Bowler,19.0,2.0,83.0,89.0,41.5,93.26,0.0,0.0,1.0,6.0,16.0,1185.0,1185.0,1620.0,1.3670886075949367,8.2,53.0,12.0,0.0,3.0,"{'bowled': 2, 'caught': 7, 'run out': 1}"
9,Andries Gous,United States of America,Batter,24.0,3.0,752.0,538.0,250.66666666666666,139.78,1.0,0.0,65.0,41.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,"{'bowled': 3, 'caught': 16, 'caught and bowled': 1, 'lbw': 3}"
10,Akeal Hosein,West Indies,Bowler,36.0,2.0,293.0,268.0,146.5,109.33,0.0,0.0,18.0,15.0,44.0,1813.0,1813.0,2163.0,1.193050193050193,7.16,82.0,16.0,0.0,0.0,"{'bowled': 3, 'caught': 10, 'caught and bowled': 2, 'lbw': 1, 'run out': 4}"
11,John Turner,England,Bowler,14.0,2.0,110.0,133.0,55.0,82.71,0.0,0.0,4.0,2.0,24.0,83.0,83.0,83.0,1.0,6.0,6.0,7.0,0.0,0.0,"{'bowled': 1, 'caught': 6, 'run out': 1, 'stumped': 1}"
12,Aiden Markram,South Africa,All-rounder,57.0,2.0,1444.0,1016.0,722.0,142.13,1.0,0.0,128.0,63.0,70.0,380.0,380.0,523.0,1.3763157894736842,8.26,33.0,38.0,0.0,1.0,"{'bowled': 11, 'caught': 35, 'lbw': 3, 'stumped': 1}"
13,Kusal Perera,Sri Lanka,Batter,5.0,2.0,59.0,68.0,29.5,86.76,0.0,0.0,5.0,1.0,16.0,6.0,6.0,17.0,2.8333333333333335,17.0,1.0,1.0,0.0,0.0,"{'bowled': 2, 'caught': 2, 'run out': 1}"
14,Aaron Hardie,Australia,Bowler,11.0,2.0,180.0,149.0,90.0,120.81,0.0,0.0,19.0,5.0,28.0,253.0,253.0,353.0,1.3952569169960474,8.37,13.0,9.0,0.0,0.0,"{'bowled': 2, 'caught': 6}"
15,Axar Patel,India,All-rounder,49.0,2.0,625.0,484.0,312.5,129.13,1.0,0.0,45.0,26.0,65.0,1389.0,1389.0,1715.0,1.2347012239020878,7.41,73.0,23.0,0.0,1.0,"{'bowled': 2, 'caught': 23, 'caught and bowled': 1, 'run out': 5}"
16,Alpesh Ramjani,Uganda,All-rounder,40.0,2.0,745.0,583.0,372.5,127.79,1.0,0.0,61.0,26.0,78.0,1224.0,1224.0,975.0,0.7965686274509803,4.78,56.0,14.0,0.0,1.0,"{'bowled': 3, 'caught': 21, 'lbw': 5, 'run out': 2}"
17,Alzarri Joseph,West Indies,Bowler,19.0,2.0,129.0,130.0,64.5,99.23,0.0,0.0,9.0,5.0,21.0,1025.0,1025.0,1541.0,1.5034146341463415,9.02,43.0,12.0,0.0,1.0,"{'bowled': 4, 'caught': 3, 'caught and bowled': 1}"
18,Teja Nidamanuru,Netherlands,Bowler,19.0,2.0,244.0,232.0,122.0,105.17,0.0,0.0,10.0,13.0,36.0,24.0,24.0,30.0,1.25,7.5,1.0,5.0,0.0,0.0,"{'bowled': 6, 'caught': 10, 'lbw': 1, 'run out': 2}"
19,Adil Rashid,England,Bowler,37.0,2.0,155.0,185.0,77.5,83.78,0.0,0.0,12.0,1.0,22.0,2778.0,2778.0,3473.0,1.250179985601152,7.5,125.0,29.0,0.0,1.0,"{'bowled': 7, 'caught': 9, 'run out': 5}"
20,Ackeem Auguste,West Indies,Batter,7.0,2.0,156.0,116.0,78.0,134.48,1.0,0.0,9.0,11.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"{'bowled': 1, 'caught': 4, 'run out': 1}"
21,Aaron Johnson,Canada,All-rounder,42.0,3.0,767.0,697.0,255.66666666666666,110.04,1.0,0.0,40.0,39.0,94.0,117.0,117.0,139.0,1.188034188034188,7.13,11.0,11.0,0.0,0.0,"{'bowled': 4, 'caught': 22, 'lbw': 3, 'run out': 4, 'stumped': 1}"
22,Aaron Jones,United States of America,All-rounder,42.0,3.0,767.0,697.0,255.66666666666666,110.04,1.0,0.0,40.0,39.0,94.0,117.0,117.0,139.0,1.188034188034188,7.13,11.0,11.0,0.0,0.0,"{'bowled': 4, 'caught': 22, 'lbw': 3, 'run out': 4, 'stumped': 1}"
23,Aasif Sheikh,Nepal,Batter,65.0,2.0,1628.0,1404.0,814.0,115.95,1.0,0.0,150.0,64.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,0.0,"{'bowled': 10, 'caught': 34, 'caught and bowled': 6, 'lbw': 9, 'run out': 1, 'stumped': 2}"
24,Abbas Afridi,Pakistan,Bowler,15.0,2.0,135.0,119.0,67.5,113.45,0.0,0.0,10.0,10.0,22.0,438.0,438.0,602.0,1.3744292237442923,8.25,23.0,5.0,0.0,0.0,"{'bowled': 1, 'caught': 8, 'lbw': 1, 'run out': 1}"
25,Abdul Samad,Pakistan,Bowler,8.0,2.0,84.0,88.0,42.0,95.45,0.0,0.0,5.0,3.0,44.0,157.0,157.0,119.0,0.7579617834394905,4.55,10.0,2.0,0.0,0.0,"{'caught': 3, 'stumped': 1}"
26,Abhishek Sharma,India,All-rounder,28.0,2.0,1012.0,551.0,506.0,183.67,0.0,1.0,96.0,66.0,135.0,134.0,134.0,183.0,1.3656716417910448,8.19,13.0,12.0,0.0,0.0,"{'bowled': 1, 'caught': 21, 'lbw': 2, 'run out': 2, 'stumped': 1}"
27,Abrar Ahmed,Pakistan,Bowler,4.0,2.0,4.0,12.0,2.0,33.33,0.0,0.0,0.0,0.0,2.0,512.0,512.0,587.0,1.146484375,6.88,23.0,6.0,0.0,0.0,{'caught': 1}
28,Afif Hossain,Bangladesh,All-rounder,58.0,2.0,1031.0,888.0,515.5,116.1,1.0,0.0,79.0,36.0,77.0,193.0,193.0,252.0,1.305699481865285,7.83,21.0,16.0,0.0,1.0,"{'bowled': 10, 'caught': 30, 'caught and bowled': 1, 'lbw': 1, 'run out': 5, 'stumped': 2}"
29,Agha Salman,Pakistan,Bowler,29.0,2.0,499.0,472.0,249.5,105.72,1.0,0.0,45.0,10.0,56.0,99.0,99.0,132.0,1.3333333333333333,8.0,11.0,12.0,0.0,1.0,"{'caught': 18, 'lbw': 5, 'run out': 1}"
30,Ahmed Daniyal,Pakistan,Bowler,1.0,1.0,17.0,11.0,17.0,154.55,0.0,0.0,3.0,0.0,17.0,44.0,44.0,40.0,0.9090909090909091,5.45,2.0,1.0,0.0,0.0,{'caught': 1}
31,Alex Carey,Australia,Bowler,2.0,1.0,12.0,23.0,12.0,52.17,0.0,0.0,0.0,0.0,6.0,19.0,19.0,12.0,0.631578947368421,3.79,1.0,0.0,0.0,0.0,{'run out': 1}
32,Hasan Ali,Pakistan,Bowler,1.0,1.0,10.0,7.0,10.0,142.86,0.0,0.0,0.0,1.0,10.0,96.0,96.0,75.0,0.78125,4.69,5.0,1.0,0.0,0.0,{}
33,Ali Khan,United States of America,Bowler,5.0,2.0,15.0,12.0,7.5,125.0,0.0,0.0,1.0,1.0,14.0,401.0,401.0,568.0,1.4164588528678304,8.5,17.0,2.0,0.0,0.0,"{'bowled': 1, 'caught': 1}"
34,Aqib Ilyas,Oman,All-rounder,46.0,4.0,1181.0,998.0,295.25,118.34,1.0,0.0,108.0,41.0,67.0,702.0,702.0,708.0,1.0085470085470085,6.05,35.0,15.0,0.0,1.0,"{'bowled': 1, 'caught': 28, 'lbw': 7, 'run out': 4}"
35,Arafat Minhas,Pakistan,Bowler,2.0,1.0,47.0,43.0,47.0,109.3,0.0,0.0,4.0,2.0,25.0,56.0,56.0,56.0,1.0,6.0,3.0,1.0,0.0,0.0,{'caught': 1}
36,Arshdeep Singh,India,Bowler,20.0,2.0,70.0,66.0,35.0,106.06,0.0,0.0,6.0,3.0,12.0,1387.0,1387.0,1879.0,1.3547224224945926,8.13,62.0,15.0,0.0,0.0,"{'bowled': 1, 'caught': 4, 'run out': 5}"
37,Avesh Khan,India,Bowler,5.0,2.0,27.0,20.0,13.5,135.0,0.0,0.0,3.0,1.0,16.0,497.0,497.0,720.0,1.448692152917505,8.69,23.0,9.0,0.0,0.0,"{'bowled': 1, 'caught': 1}"
38,Ayaan Khan,Oman,All-rounder,34.0,2.0,540.0,531.0,270.0,101.69,1.0,0.0,33.0,16.0,53.0,290.0,290.0,389.0,1.3413793103448275,8.05,26.0,22.0,0.0,3.0,"{'bowled': 7, 'caught': 18, 'run out': 1, 'stumped': 3}"
39,Brad Evans,Zimbabwe,Bowler,7.0,2.0,43.0,46.0,21.5,93.48,0.0,0.0,1.0,1.0,19.0,348.0,348.0,442.0,1.2701149425287357,7.62,18.0,7.0,0.0,0.0,"{'bowled': 2, 'caught': 2, 'lbw': 1}"
40,Binura Fernando,Sri Lanka,Bowler,7.0,2.0,43.0,49.0,21.5,87.76,0.0,0.0,3.0,1.0,20.0,497.0,497.0,666.0,1.340040241448692,8.04,23.0,1.0,0.0,1.0,"{'bowled': 1, 'caught': 1, 'stumped': 1}"
