match_id,team,total_runs,wickets_lost,balls_x,fours,sixes,run_rate,runs_conceded,wickets_taken,balls_y,team1,team2,winner,result,won,opponent,form_runs,form_wickets,win_ratio_5,h2h_winrate
1286681,Argentina,13.0,0.0,12.0,1.0,0.0,6.5,18.0,0.0,21.0,Argentina,United States of America,United States of America,"{""wickets"": 8}",0,United States of America,,,,0.0
1286685,Argentina,17.0,3.0,19.0,2.0,0.0,5.37,6.0,0.0,9.0,Argentina,Canada,Canada,"{""wickets"": 9}",0,Canada,,,,0.0
533273,Australia,31.0,1.0,19.0,3.0,1.0,9.79,,,,Australia,Ireland,Australia,"{""wickets"": 7}",1,Ireland,,,,0.5
682957,Australia,26.0,1.0,25.0,4.0,0.0,6.24,,,,Bangladesh,Australia,Australia,"{""wickets"": 7}",1,Bangladesh,,,,0.28
951337,Australia,23.0,1.0,15.0,4.0,0.0,9.2,2.0,1.0,2.0,Australia,New Zealand,New Zealand,"{""runs"": 8}",0,New Zealand,,,,0.4
951347,Australia,31.0,3.0,26.0,2.0,2.0,7.15,1.0,1.0,6.0,Australia,Bangladesh,Australia,"{""wickets"": 3}",1,Bangladesh,,,,0.28
1119501,Australia,16.0,2.0,24.0,0.0,0.0,4.0,,,,Australia,India,India,"{""wickets"": 9}",0,India,25.4,,0.6,0.17
1119502,Australia,46.0,0.0,24.0,3.0,3.0,11.5,19.0,2.0,21.0,India,Australia,Australia,"{""wickets"": 8}",1,India,28.4,,0.6,0.17
1142914,Australia,60.0,1.0,36.0,3.0,4.0,10.0,69.0,5.0,66.0,Pakistan,Australia,Australia,"{""wickets"": 9}",1,Pakistan,35.2,,0.6,0.29
1142917,Australia,97.0,5.0,73.0,9.0,2.0,7.97,114.0,4.0,76.0,Pakistan,Australia,Pakistan,"{""runs"": 45}",0,Pakistan,50.0,,0.6,0.29
1142919,Australia,149.0,7.0,101.0,9.0,8.0,8.85,98.0,3.0,54.0,Australia,Pakistan,Pakistan,"{""wickets"": 6}",0,Pakistan,73.6,,0.4,0.29
1144990,Australia,24.0,3.0,27.0,1.0,0.0,5.33,18.0,1.0,13.0,Australia,India,Australia,"{""runs"": 4}",1,India,75.2,3.0,0.6,0.17
