pos,Team,matches,pts,rating
1,India,67,18251,272
2,Australia,42,11199,267
3,England,45,11609,258
4,New Zealand,52,13031,251
5,South Africa,49,11751,240
6,West Indies,60,14223,237
7,Pakistan,68,15915,234
8,Sri Lanka,43,9899,230
9,Bangladesh,64,14269,223
10,Afghanistan,44,9665,220
11,Ireland,34,6821,201
12,Zimbabwe,62,12364,199
13,Netherlands,35,6366,182
14,Scotland,23,4178,182
15,Namibia,35,6344,181
16,UAE,59,10484,178
17,Nepal,42,7384,176
18,USA,33,5769,175
19,Canada,35,5374,154
20,Oman,46,6912,150
21,Uganda,56,7952,142
22,PNG,20,2718,136
23,Kuwait,42,5441,130
24,Hong Kong,50,6374,127
25,Malaysia,53,6508,123
26,Bahrain,61,7285,119
27,Jersey,24,2819,117
28,Italy,15,1725,115
29,Qatar,38,4310,113
30,Bermuda,27,3040,113
31,Spain,17,1872,110
32,Saudi Arabia,39,4245,109
33,Kenya,48,5074,106
34,Tanzania,41,4082,100
35,Germany,22,1924,87
36,Nigeria,43,3377,79
37,Singapore,37,2844,77
38,Guernsey,27,2071,77
39,Cayman Islands,26,1921,74
40,Austria,57,4054,71
41,Denmark,18,1262,70
42,Norway,30,2095,70
43,Portugal,20,1333,67
44,Japan,38,2518,66
45,Belgium,36,2059,57
46,Cambodia,24,1365,57
47,Switzerland,22,1086,49
48,Finland,23,1130,49
49,Argentina,13,627,48
50,Sweden,22,1048,48
51,Malawi,43,2019,47
52,Botswana,33,1547,47
53,Isle of Man,13,604,46
54,France,24,1109,46
55,Thailand,36,1654,46
56,Romania,34,1544,45
57,Bahamas,23,972,42
58,Czechia,22,911,41
59,Cook Islands,14,552,39
60,Philippines,22,827,38
61,Rwanda,64,2343,37
62,Fiji,11,387,35
63,Vanuatu,16,561,35
64,Cyprus,24,789,33
65,Indonesia,60,1853,31
66,Ghana,19,570,30
67,Sierra Leone,17,504,30
68,Hungary,33,971,29
69,Samoa,23,672,29
70,Estonia,24,665,28
71,Malta,41,1085,26
72,Mozambique,20,518,26
73,Eswatini,19,491,26
74,Israel,7,178,25
75,Panama,15,318,21
76,Belize,8,164,21
77,Gibraltar,26,494,19
78,Luxembourg,24,432,18
79,Costa Rica,13,218,17
80,Bhutan,21,336,16
81,Mexico,18,287,16
82,Suriname,8,119,15
83,Serbia,30,315,11
84,Maldives,21,214,10
85,Brazil,10,94,9
86,Cameroon,11,86,8
87,Bulgaria,29,191,7
88,South Korea,16,94,6
89,St Helena,8,44,6
90,China,6,29,5
91,Myanmar,20,81,4
92,Lesotho,11,24,2
93,Turkey,12,26,2
94,Gambia,8,6,1
95,Slovenia,18,0,0
95,Seychelles,7,0,0
95,Mali,9,0,0
95,Greece,6,0,0
95,Croatia,21,0,0
95,Mongolia,13,0,0
