pos,Team,Player,Rating,Career Best Rating
1,Pakistan,Saim Ayub,269,275 v South Africa at Lahore 2025
2,Zimbabwe,Sikandar Raza,251,251 v Afghanistan at Harare 2025
3,West Indies,Roston Chase,227,227 v Bangladesh at Chittagong 2025
4,India,Hardik Pandya,219,268 v West Indies at Guyana 2023
5,Afghanistan,Mohammad Nabi,217,361 v Bangladesh at Mirpur 2019
6,Nepal,Dipendra Singh Airee,202,244 v USA at Dallas 2024
7,Sri Lanka,Wanindu Hasaranga,187,243 v Afghanistan at Dambulla 2024
8,Afghanistan,Azmatullah Omarzai,187,191 v Zimbabwe at Harare 2025
9,Australia,Marcus Stoinis,184,235 v Namibia at Antigua 2024
10,Pakistan,Mohammad Nawaz,182,190 v South Africa at Lahore 2025
11,West Indies,Romario Shepherd,180,208 v England at Bristol 2025
12,Afghanistan,Rashid Khan,178,181 v Zimbabwe at Harare 2025
13,England,Liam Livingstone,171,261 v West Indies at Barbados 2024
14,West Indies,Jason Holder,170,170 v Bangladesh at Chittagong 2025
15,India,Axar Patel,170,175 v Pakistan at Dubai 2025
16,India,Abhishek Sharma,156,163 v Bangladesh at Dubai 2025
17,Namibia,Gerhard Erasmus,155,190 v Zimbabwe at Namibia 2023
18,South Africa,Aiden Markram,152,214 v India at Gqeberha 2023
19,Sri Lanka,Dasun Shanaka,142,149 v South Africa at New York 2024
20,Australia,Glenn Maxwell,139,375 v Sri Lanka at Colombo (RPS) 2016
21,New Zealand,Michael Bracewell,132,141 v Pakistan at Bay Oval 2025
22,India,Shivam Dube,131,140 v Pakistan at Dubai 2025
23,Namibia,JJ Smit,129,199 v Zimbabwe at Namibia 2023
24,Australia,Cameron Green,126,157 v South Africa at Darwin 2025
25,Nepal,Kushal Bhurtel,126,139 v Kuwait at Oman 2025
26,Ireland,Mark Adair,124,131 v South Africa at Abu Dhabi 2024
27,Ireland,Gareth Delany,122,174 v Afghanistan at Greater Noida 2020
28,New Zealand,Mitchell Santner,121,138 v Pakistan at Dunedin 2024
