pos,Team,Player,Rating,Career Best Rating
1,India,Abhishek Sharma,925,931 v Sri Lanka at Dubai 2025
2,England,Phil Salt,849,881 v West Indies at Barbados 2024
3,India,Tilak Varma,788,845 v England at Chennai 2025
4,Sri Lanka,Pathum Nissanka,779,779 v India at Dubai 2025
5,England,Jos Buttler,770,794 v South Africa at Old Trafford 2025
6,Australia,Travis Head,727,885 v Scotland at Edinburgh 2024
7,New Zealand,Tim Seifert,718,727 v Zimbabwe at Harare 2025
8,India,Suryakumar Yadav,696,912 v New Zealand at Ranchi 2023
9,Sri Lanka,Kusal Perera,692,786 v West Indies at Mirpur 2014
10,Australia,Mitchell Marsh,685,694 v India at Melbourne 2025
11,Pakistan,Sahibzada Farhan,679,688 v South Africa at Lahore 2025
12,West Indies,Shai Hope,676,712 v Australia at St Kitts 2025
13,Australia,Tim David,675,680 v South Africa at Darwin 2025
14,South Africa,Dewald Brevis,672,685 v England at Cardiff 2025
15,Afghanistan,Rahmanullah Gurbaz,644,666 v Scotland at Sharjah 2021
16,South Africa,Reeza Hendricks,638,717 v West Indies at Jamaica 2024
17,Bangladesh,Tanzid Hasan,636,636 v West Indies at Chittagong 2025
18,Sri Lanka,Kusal Mendis,625,653 v Bangladesh at Pallekele 2025
19,Australia,Josh Inglis,623,730 v West Indies at St Kitts 2025
20,Afghanistan,Ibrahim Zadran,615,615 v Zimbabwe at Harare 2025
21,USA,Saiteja Mukkamalla,598,631 v Oman at Oman 2025
22,England,Ben Duckett,592,635 v West Indies at Southampton 2025
23,England,Harry Brook,592,598 v New Zealand at Christchurch 2025
24,Scotland,George Munsey,588,619 v Netherlands at Malahide 2019
25,Netherlands,Michael Levitt,581,651 v Nepal at Glasgow 2025
26,Australia,Cameron Green,574,640 v South Africa at Darwin 2025
27,Zimbabwe,Brian Bennett,568,568 v Afghanistan at Harare 2025
28,UAE,Muhammad Waseem,566,744 v Singapore at Oman 2022
29,Bangladesh,Saif Hassan,565,621 v Afghanistan at Sharjah 2025
30,Pakistan,Babar Azam,563,900 v England at Cardiff 2019
31,India,Shubman Gill,563,616 v Sri Lanka at Pallekele 2024
32,New Zealand,Finn Allen,563,730 v Pakistan at Dunedin 2024
33,USA,Andries Gous,560,617 v Nepal at Dallas 2024
34,West Indies,Rovman Powell,555,615 v England at Southampton 2025
35,South Africa,Aiden Markram,553,801 v England at Sharjah 2021
36,West Indies,Brandon King,553,707 v South Africa at Jamaica 2024
37,South Africa,Tristan Stubbs,552,599 v India at Johannesburg 2024
38,India,Sanju Samson,547,604 v England at Kolkata 2025
39,Pakistan,Saim Ayub,544,571 v UAE at Sharjah 2025
40,Australia,Glenn Maxwell,542,848 v Sri Lanka at Adelaide 2019
41,New Zealand,Tim Robinson,531,622 v Australia at Bay Oval 2025
42,Pakistan,Mohammad Rizwan,530,882 v England at Lahore 2022
43,West Indies,Johnson Charles,526,671 v England at St Lucia 2024
44,Bangladesh,Litton Das,519,596 v Ireland at Chittagong 2023
45,Scotland,Brandon McMullen,519,560 v Nepal at Glasgow 2025
46,Bangladesh,Tawhid Hridoy,513,602 v Australia at Antigua 2024
47,New Zealand,Glenn Phillips,512,710 v England at Brisbane 2022
48,Sri Lanka,Charith Asalanka,512,627 v Australia at Pallekele 2022
49,Scotland,Richie Berrington,510,597 v Oman at Oman 2021
50,England,Liam Livingstone,506,580 v West Indies at St Lucia 2024
51,New Zealand,Daryl Mitchell,506,587 v Sri Lanka at Auckland 2023
52,South Africa,Quinton de Kock,504,686 v Sri Lanka at Colombo (RPS) 2021
53,Netherlands,Max O'Dowd,503,555 v Kenya at Dubai (GCA) 2019
54,Pakistan,Salman Agha,500,505 v Afghanistan at Sharjah 2025
55,New Zealand,Mark Chapman,496,564 v England at Trent Bridge 2023
56,Ireland,Paul Stirling,494,607 v UAE at Dubai (GCA) 2021
57,Australia,Marcus Stoinis,492,537 v India at Trivandrum 2023
58,Bangladesh,Parvez Hossain Emon,487,517 v Afghanistan at Sharjah 2025
59,New Zealand,Devon Conway,484,839 v Australia at Sydney 2022
60,England,Jacob Bethell,482,493 v New Zealand at Christchurch 2025
61,Afghanistan,Mohammad Nabi,481,577 v Bangladesh at Mirpur 2019
62,India,Hardik Pandya,478,510 v England at Pune 2025
63,Pakistan,Fakhar Zaman,475,854 v Australia at Harare 2018
64,UAE,Alishan Sharafu,474,481 v Nepal at Oman 2025
65,Bangladesh,Jaker Ali,474,510 v Sri Lanka at Abu Dhabi 2025
66,South Africa,David Miller,457,600 v Sri Lanka at Cape Town 2019
67,India,Shivam Dube,457,487 v England at Mumbai 2025
68,Zimbabwe,Sikandar Raza,456,483 v Sri Lanka at Colombo (RPS) 2024
69,India,Rinku Singh,455,550 v Afghanistan at Bengaluru 2024
70,Pakistan,Hasan Nawaz,455,603 v UAE at Sharjah 2025
71,Afghanistan,Sediqullah Atal,452,452 v Zimbabwe at Harare 2025
72,Nepal,Dipendra Singh Airee,450,517 v USA at Dallas 2024
73,Sri Lanka,Dasun Shanaka,446,522 v India at Rajkot 2023
74,Nepal,Rohit Paudel,446,518 v Hong Kong at Hong Kong 2024
75,West Indies,Sherfane Rutherford,444,541 v England at St Lucia 2024
76,Nepal,Aasif Sheikh,441,452 v Kuwait at Hong Kong 2025
77,Nepal,Kushal Bhurtel,440,590 v Papua New Guinea at Kirtipur 2022
78,West Indies,Roston Chase,434,434 v Bangladesh at Chittagong 2025
79,Ireland,Harry Tector,429,445 v Pakistan at Dublin 2024
80,Namibia,Gerhard Erasmus,426,502 v Ireland at Sharjah 2021
81,Sri Lanka,Kamindu Mendis,423,464 v Bangladesh at Sylhet 2024
82,Pakistan,Mohammad Haris,418,580 v Bangladesh at Lahore 2025
83,West Indies,Ackeem Auguste,417,417 v Bangladesh at Chittagong 2025
84,West Indies,Alick Athanaze,412,453 v Bangladesh at Chittagong 2025
85,Namibia,Nikolaas Davin,411,541 v Zimbabwe at Namibia 2023
86,Ireland,Ross Adair,411,411 v England at Malahide 2025
87,Australia,Matthew Short,407,447 v Pakistan at Sydney 2024
88,England,Jamie Smith,407,437 v West Indies at Southampton 2025
89,West Indies,Amir Jangoo,407,407 v Bangladesh at Chittagong 2025
90,Scotland,Matthew Cross,405,488 v Zimbabwe at Edinburgh 2021
91,South Africa,Ryan Rickelton,403,424 v Australia at Darwin 2025
92,Hong Kong,Anshy Rath,399,426 v Nepal at Oman 2024
93,West Indies,Evin Lewis,388,786 v England at Durham 2017
94,Ireland,Lorcan Tucker,388,446 v Australia at Brisbane 2022
95,Netherlands,Scott Edwards,386,396 v Oman at Oman 2024
96,Afghanistan,Azmatullah Omarzai,385,389 v Zimbabwe at Harare 2025
97,Namibia,JJ Smit,383,448 v Netherlands at Kirtipur 2024
98,Zimbabwe,Ryan Burl,382,415 v Ireland at Bready 2021
99,Ireland,Curtis Campher,382,438 v Zimbabwe at Harare 2023
100,West Indies,Romario Shepherd,376,405 v Australia at St Kitts 2025
101,Bangladesh,Najmul Hossain Shanto,376,600 v England at Mirpur 2023
