pos,Team,Player,Rating,Career Best Rating
1,India,Varun Chakaravarthy,799,803 v Pakistan at Dubai 2025
2,West Indies,Akeal Hosein,726,726 v Bangladesh at Chittagong 2025
3,Afghanistan,Rashid Khan,701,828 v Bangladesh at Dehradun 2018
4,Sri Lanka,Wanindu Hasaranga,687,809 v West Indies at Abu Dhabi 2021
5,England,Adil Rashid,686,747 v West Indies at Barbados 2022
6,Sri Lanka,Nuwan Thushara,676,714 v Afghanistan at Abu Dhabi 2025
7,Australia,Adam Zampa,670,746 v Sri Lanka at Sydney 2022
8,Pakistan,Abrar Ahmed,667,703 v Sri Lanka at Abu Dhabi 2025
9,New Zealand,Jacob Duffy,663,750 v South Africa at Harare 2025
10,Australia,Josh Hazlewood,659,808 v Sri Lanka at Sydney 2022
11,Australia,Nathan Ellis,658,664 v West Indies at St Kitts 2025
12,Bangladesh,Mustafizur Rahman,649,718 v Sri Lanka at Colombo (RPS) 2017
13,Pakistan,Shaheen Afridi,630,636 v Australia at Lahore 2022
14,Afghanistan,Mujeeb Ur Rahman,629,757 v Ireland at Greater Noida 2020
15,India,Kuldeep Yadav,625,737 v New Zealand at Hamilton 2019
16,Sri Lanka,Maheesh Theekshana,624,686 v New Zealand at Bay Oval 2024
17,India,Axar Patel,617,667 v Afghanistan at Indore 2024
18,Bangladesh,Mahedi Hasan,617,636 v West Indies at St. Vincent 2024
19,Afghanistan,Noor Ahmad,615,640 v Bangladesh at Sharjah 2025
20,India,Arshdeep Singh,614,679 v England at Kolkata 2025
21,England,Jofra Archer,612,668 v India at Chennai 2025
22,India,Ravi Bishnoi,610,707 v Australia at Bengaluru 2023
23,West Indies,Jason Holder,605,605 v Bangladesh at Chittagong 2025
24,Pakistan,Sufiyan Muqeem,605,656 v India at Dubai 2025
25,Afghanistan,Fazalhaq Farooqi,599,700 v Pakistan at Sharjah 2023
26,Bangladesh,Rishad Hossain,597,630 v Sri Lanka at Colombo (RPS) 2025
27,New Zealand,Matt Henry,592,614 v England at Christchurch 2025
28,New Zealand,Mitchell Santner,591,735 v Pakistan at Wellington 2018
29,India,Jasprit Bumrah,583,783 v England at Bengaluru 2017
30,Bangladesh,Nasum Ahmed,578,643 v Afghanistan at Mirpur 2022
31,Australia,Sean Abbott,561,601 v New Zealand at Bay Oval 2025
32,Pakistan,Mohammad Nawaz,556,571 v South Africa at Lahore 2025
33,Zimbabwe,Sikandar Raza,552,552 v Afghanistan at Harare 2025
34,Bangladesh,Tanzim Hasan Sakib,542,556 v Afghanistan at Sharjah 2025
35,Sri Lanka,Matheesha Pathirana,539,581 v New Zealand at Bay Oval 2024
36,West Indies,Gudakesh Motie,538,715 v Sri Lanka at Dambulla 2024
37,Pakistan,Haris Rauf,532,659 v New Zealand at Lahore 2023
38,West Indies,Roston Chase,524,625 v Bangladesh at St. Vincent 2024
39,South Africa,Corbin Bosch,524,524 v Pakistan at Lahore 2025
40,Bangladesh,Taskin Ahmed,522,631 v West Indies at St. Vincent 2024
