player_name,venue,matches_x,runs,balls_x,fours,sixes,dismissals,strike_rate,avg,matches_y,balls_y,runs_conceded,wickets,economy,bowling_avg,city,country
A Athanaze,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",3.0,87.0,71.0,9.0,4.0,71.0,122.54,1.23,,,,,0.0,0.0,Chattogram,
A Athanaze,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2.0,62.0,44.0,8.0,1.0,44.0,140.91,1.41,,,,,0.0,0.0,Lauderhill,
A Augastin,Harare Sports Club,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,,
A Augastin,"Takashinga Sports Club, Highfield, Harare",,0.0,,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,6.0,1.0,Harare,
A Bagai,Sheikh Zayed Stadium,1.0,19.0,15.0,0.0,0.0,15.0,126.67,1.27,,,,,0.0,0.0,Abu Dhabi,
A Balbirnie,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),4.0,99.0,70.0,13.0,3.0,70.0,141.43,1.41,,,,,0.0,0.0,Al Amarat,
A Balbirnie,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),1.0,12.0,9.0,3.0,0.0,9.0,133.33,1.33,,,,,0.0,0.0,Al Amarat,
A Balbirnie,"Bready Cricket Club, Magheramason",1.0,1.0,1.0,0.0,0.0,1.0,100.0,1.0,,,,,0.0,0.0,Bready,
A Balbirnie,"Castle Avenue, Dublin",3.0,99.0,76.0,11.0,4.0,76.0,130.26,1.3,,,,,0.0,0.0,Dublin,
A Balbirnie,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,,,,,0.0,0.0,Lauderhill,
A Balbirnie,Dubai International Cricket Stadium,1.0,6.0,3.0,1.0,0.0,3.0,200.0,2.0,,,,,0.0,0.0,,
A Balbirnie,Harare Sports Club,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,
A Balbirnie,"Malahide, Dublin",1.0,40.0,27.0,5.0,1.0,27.0,148.15,1.48,,,,,0.0,0.0,Dublin,
A Balbirnie,"Nassau County International Cricket Stadium, New York",2.0,8.0,18.0,1.0,0.0,18.0,44.44,0.44,,,,,0.0,0.0,New York,
A Balbirnie,Sharjah Cricket Stadium,1.0,1.0,3.0,0.0,0.0,3.0,33.33,0.33,,,,,0.0,0.0,Sharjah,
A Balbirnie,Sheikh Zayed Stadium,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,Abu Dhabi,
A Balbirnie,Sportpark Het Schootsveld,1.0,2.0,3.0,0.0,0.0,3.0,66.67,0.67,,,,,0.0,0.0,Deventer,
A Balbirnie,"The Village, Malahide",1.0,17.0,8.0,3.0,0.0,8.0,212.5,2.12,,,,,0.0,0.0,Dublin,
A Balbirnie,"The Village, Malahide, Dublin",1.0,2.0,5.0,0.0,0.0,5.0,40.0,0.4,,,,,0.0,0.0,Dublin,
A Bohara,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),,0.0,,0.0,0.0,0.0,,,5.0,43.0,41.0,43.0,5.72,0.95,Al Amarat,
A Bohara,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),,0.0,,0.0,0.0,0.0,,,1.0,12.0,12.0,12.0,6.0,1.0,Al Amarat,
A Bohara,"Arnos Vale Ground, Kingstown, St Vincent",,0.0,,0.0,0.0,0.0,,,1.0,8.0,11.0,8.0,8.25,1.38,Kingstown,
A Bohara,"Grand Prairie Stadium, Dallas",,0.0,,0.0,0.0,0.0,,,1.0,2.0,2.0,2.0,6.0,1.0,Dallas,
A Bohara,"Tribhuvan University International Cricket Ground, Kirtipur",1.0,1.0,1.0,0.0,0.0,1.0,100.0,1.0,5.0,48.0,69.0,48.0,8.62,1.44,Kirtipur,
A Busing-Volschenk,"Queens Sports Club, Bulawayo",,0.0,,0.0,0.0,0.0,,,1.0,2.0,4.0,2.0,12.0,2.0,Bulawayo,
A Busing-Volschenk,"Wanderers Cricket Ground, Windhoek",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,Windhoek,
A Chaudhary,"Tribhuvan University International Cricket Ground, Kirtipur",2.0,17.0,20.0,3.0,0.0,20.0,85.0,0.85,2.0,10.0,9.0,10.0,5.4,0.9,Kirtipur,
A Chenthamara,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),,0.0,,0.0,0.0,0.0,,,2.0,16.0,11.0,16.0,4.12,0.69,Al Amarat,
A Chenthamara,"Mission Road Ground, Mong Kok, Hong Kong",,0.0,,0.0,0.0,0.0,,,2.0,10.0,10.0,10.0,6.0,1.0,Mong Kok,
A Dananjaya,Barabati Stadium,1.0,2.0,2.0,0.0,0.0,2.0,100.0,1.0,1.0,13.0,12.0,13.0,5.54,0.92,Cuttack,
A Dananjaya,Holkar Cricket Stadium,,0.0,,0.0,0.0,0.0,,,1.0,3.0,8.0,3.0,16.0,2.67,Indore,
A Dananjaya,"R Premadasa Stadium, Colombo",,0.0,,0.0,0.0,0.0,,,1.0,6.0,4.0,6.0,4.0,0.67,Colombo,
A Dananjaya,"R.Premadasa Stadium, Khettarama",,0.0,,0.0,0.0,0.0,,,3.0,16.0,24.0,16.0,9.0,1.5,Colombo,
A Dananjaya,"Shere Bangla National Stadium, Mirpur",,0.0,,0.0,0.0,0.0,,,1.0,8.0,13.0,8.0,9.75,1.62,Dhaka,
A Dananjaya,Sylhet International Cricket Stadium,,0.0,,0.0,0.0,0.0,,,2.0,10.0,5.0,10.0,3.0,0.5,,
A Dananjaya,Wankhede Stadium,1.0,9.0,3.0,2.0,0.0,3.0,300.0,3.0,1.0,3.0,3.0,3.0,6.0,1.0,Mumbai,
A Desai,"Jimmy Powell Oval, Cayman Islands",,0.0,,0.0,0.0,0.0,,,1.0,13.0,21.0,13.0,9.69,1.62,George Town,
A Dhingra,Marsa Sports Club,,0.0,,0.0,0.0,0.0,,,1.0,8.0,13.0,8.0,9.75,1.62,Marsa,
A Dutt,"Arnos Vale Ground, Kingstown, St Vincent",1.0,15.0,12.0,1.0,1.0,12.0,125.0,1.25,1.0,14.0,12.0,14.0,5.14,0.86,Kingstown,
A Dutt,"Queens Sports Club, Bulawayo",,0.0,,0.0,0.0,0.0,,,1.0,4.0,4.0,4.0,6.0,1.0,Bulawayo,
A Dutt,"Sportpark Maarschalkerweerd, Utrecht",,0.0,,0.0,0.0,0.0,,,1.0,6.0,10.0,6.0,10.0,1.67,Utrecht,
A Dutt,"Sportpark Westvliet, The Hague",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,2.0,0.33,The Hague,
A Dutt,Sylhet International Cricket Stadium,2.0,43.0,34.0,4.0,1.0,34.0,126.47,1.26,3.0,62.0,63.0,62.0,6.1,1.02,,
A Dutt,"Titwood, Glasgow",1.0,7.0,6.0,0.0,1.0,6.0,116.67,1.17,1.0,2.0,2.0,2.0,6.0,1.0,Glasgow,
