match_id,date,venue,city,country,team1,team2,winner,batting_team1,batting_team2,team_runs1,team_runs2,team_wkts1,team_wkts2,top_scorer,top_scorer_runs,top_bowler,top_bowler_wkts,margin_runs,margin_wkts
1001349,2017-02-17,Melbourne Cricket Ground,,,Australia,Sri Lanka,Sri Lanka,,,,,,,,,,,,
1001351,2017-02-19,"Simonds Stadium, South Geelong",Victoria,,Australia,Sri Lanka,Sri Lanka,,,,,,,,,,,,
1001353,2017-02-22,Adelaide Oval,,,Australia,Sri Lanka,Australia,,,,,,,,,,,,
1004729,2016-09-05,"Bready Cricket Club, Magheramason",Londonderry,,Ireland,Hong Kong,Hong Kong,,,,,,,,,,,,
1007655,2016-06-18,Harare Sports Club,,,Zimbabwe,India,Zimbabwe,India,Zimbabwe,18,20,20,19,Sikandar Raza,20.0,Sikandar Raza,19.0,2.0,
1007657,2016-06-20,Harare Sports Club,,,Zimbabwe,India,India,India,Zimbabwe,58,1,46,2,KL Rahul,47.0,Sikandar Raza,6.0,57.0,
1007659,2016-06-22,Harare Sports Club,,,Zimbabwe,India,India,India,,22,,20,,KL Rahul,22.0,,,,
1019979,2017-01-03,McLean Park,Napier,,New Zealand,Bangladesh,New Zealand,Bangladesh,New Zealand,7,38,7,31,Nurul Hasan,7.0,Mustafizur Rahman,25.0,31.0,
1019981,2017-01-06,Bay Oval,Mount Maunganui,,New Zealand,Bangladesh,New Zealand,Bangladesh,New Zealand,49,31,39,27,Soumya Sarkar,39.0,Mustafizur Rahman,26.0,,
1019983,2017-01-08,Bay Oval,Mount Maunganui,,New Zealand,Bangladesh,New Zealand,Bangladesh,New Zealand,51,59,35,33,Soumya Sarkar,42.0,Taskin Ahmed,26.0,8.0,
1020029,2017-02-17,Eden Park,Auckland,,New Zealand,South Africa,South Africa,,,,,,,,,,,,
1031431,2017-06-21,The Rose Bowl,Southampton,,England,South Africa,England,,,,,,,,,,,,
1031433,2017-06-23,County Ground,Taunton,,England,South Africa,South Africa,,,,,,,,,,,,
1031435,2017-06-25,Sophia Gardens,Cardiff,,England,South Africa,England,,,,,,,,,,,,
1031665,2017-09-16,Riverside Ground,Chester-le-Street,,West Indies,England,West Indies,,,,,,,,,,,,
1034825,2017-01-26,Green Park,Kanpur,,India,England,England,India,,9,,10,,KL Rahul,8.0,,,,
1034827,2017-01-29,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,,India,England,India,India,,73,,48,,KL Rahul,71.0,,,,
1034829,2017-02-01,M Chinnaswamy Stadium,Bangalore,,India,England,India,India,,24,,18,,KL Rahul,22.0,,,,
1041615,2016-08-27,Central Broward Regional Park Stadium Turf Ground,Lauderhill,,India,West Indies,West Indies,India,,113,,53,,KL Rahul,110.0,,,,
1041617,2016-08-28,Central Broward Regional Park Stadium Turf Ground,Lauderhill,,India,West Indies,,,,,,,,,,,,,
1050217,2016-09-23,Dubai International Cricket Stadium,,,Pakistan,West Indies,Pakistan,Pakistan,West Indies,56,32,37,20,Babar Azam,55.0,Hasan Ali,20.0,24.0,
1050219,2016-09-24,Dubai International Cricket Stadium,,,Pakistan,West Indies,Pakistan,Pakistan,West Indies,20,49,19,26,Babar Azam,19.0,Hasan Ali,26.0,,
1050221,2016-09-27,Sheikh Zayed Stadium,Abu Dhabi,,Pakistan,West Indies,Pakistan,Pakistan,,28,,25,,Babar Azam,27.0,,,,
1072316,2018-02-03,Sydney Cricket Ground,,,New Zealand,Australia,Australia,,,,,,,,,,,,
1072317,2018-02-07,Bellerive Oval,Hobart,,England,Australia,Australia,,,,,,,,,,,,
1072318,2018-02-10,Melbourne Cricket Ground,,,England,Australia,Australia,,,,,,,,,,,,
1072319,2018-02-13,Westpac Stadium,Wellington,,New Zealand,England,New Zealand,,,,,,,,,,,,
1072320,2018-02-16,Eden Park,Auckland,,New Zealand,Australia,Australia,,,,,,,,,,,,
1072321,2018-02-18,Seddon Park,Hamilton,,England,New Zealand,England,,,,,,,,,,,,
1072322,2018-02-21,Eden Park,Auckland,,New Zealand,Australia,Australia,,,,,,,,,,,,
1074957,2017-01-14,Sheikh Zayed Stadium,Abu Dhabi,,Hong Kong,Scotland,Scotland,,,,,,,,,,,,
1074959,2017-01-15,Sheikh Zayed Stadium,Abu Dhabi,,Netherlands,Oman,Netherlands,Netherlands,Oman,111,68,96,55,Zeeshan Maqsood,34.0,Kaleemullah,26.0,43.0,
1074961,2017-01-16,Sheikh Zayed Stadium,Abu Dhabi,,Hong Kong,Oman,Oman,Hong Kong,Oman,75,71,92,48,Aqib Ilyas,56.0,Bilal Khan,26.0,,
1074964,2017-01-17,Sheikh Zayed Stadium,Abu Dhabi,,Netherlands,Scotland,Scotland,,,,,,,,,,,,
1074965,2017-01-18,Dubai International Cricket Stadium,,,United Arab Emirates,Ireland,Ireland,Ireland,United Arab Emirates,7,24,4,28,GH Dockrell,7.0,GH Dockrell,26.0,,
1074966,2017-01-18,Dubai International Cricket Stadium,,,Hong Kong,Netherlands,Hong Kong,,,,,,,,,,,,
1074968,2017-01-19,Dubai International Cricket Stadium,,,Oman,Scotland,Scotland,Oman,Scotland,45,82,53,69,Aqib Ilyas,19.0,Zeeshan Maqsood,24.0,37.0,
1074970,2017-01-20,Dubai International Cricket Stadium,,,Ireland,Scotland,Ireland,Ireland,Scotland,3,28,3,21,GH Dockrell,3.0,GH Dockrell,19.0,,
1075507,2017-10-26,Mangaung Oval,Bloemfontein,,South Africa,Bangladesh,South Africa,Bangladesh,South Africa,98,42,64,24,Soumya Sarkar,47.0,Mohammad Saifuddin,12.0,,
1075508,2017-10-29,Senwes Park,Potchefstroom,,South Africa,Bangladesh,South Africa,Bangladesh,South Africa,87,95,67,43,Soumya Sarkar,44.0,Mohammad Saifuddin,24.0,8.0,
1077947,2017-03-26,"Kensington Oval, Bridgetown",Barbados,,West Indies,Pakistan,Pakistan,Pakistan,West Indies,32,33,32,48,Babar Azam,29.0,Hasan Ali,24.0,,
1077948,2017-03-30,"Queen's Park Oval, Port of Spain",Trinidad,,West Indies,Pakistan,Pakistan,Pakistan,West Indies,45,49,47,49,Babar Azam,27.0,Hasan Ali,25.0,,
1083449,2017-04-04,R Premadasa Stadium,Colombo,,Sri Lanka,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,35,83,22,56,Soumya Sarkar,29.0,Taskin Ahmed,19.0,48.0,
1083450,2017-04-06,R Premadasa Stadium,Colombo,,Sri Lanka,Bangladesh,Bangladesh,Bangladesh,Sri Lanka,43,45,24,37,Soumya Sarkar,34.0,Mustafizur Rahman,19.0,,
1085495,2017-04-01,"Queen's Park Oval, Port of Spain",Trinidad,,West Indies,Pakistan,West Indies,Pakistan,West Indies,70,59,63,36,Babar Azam,43.0,Shadab Khan,23.0,,
1085496,2017-04-02,"Queen's Park Oval, Port of Spain",Trinidad,,West Indies,Pakistan,Pakistan,Pakistan,West Indies,38,29,36,50,Babar Azam,38.0,Hasan Ali,25.0,9.0,
1089202,2017-04-12,Sheikh Zayed Stadium,Abu Dhabi,,United Arab Emirates,Papua New Guinea,United Arab Emirates,,,,,,,,,,,,
1089203,2017-04-14,Sheikh Zayed Stadium,Abu Dhabi,,United Arab Emirates,Papua New Guinea,United Arab Emirates,,,,,,,,,,,,
1089243,2017-04-14,Sheikh Zayed Stadium,Abu Dhabi,,United Arab Emirates,Papua New Guinea,United Arab Emirates,,,,,,,,,,,,
1098211,2017-07-09,"Sabina Park, Kingston",Jamaica,,West Indies,India,West Indies,West Indies,,39,,27,,,,Kuldeep Yadav,27.0,,
1109610,2017-09-06,"R.Premadasa Stadium, Khettarama",Colombo,,Sri Lanka,India,India,India,Sri Lanka,24,20,18,24,KL Rahul,24.0,Kuldeep Yadav,24.0,4.0,
1115798,2017-12-29,Saxton Oval,Nelson,,New Zealand,West Indies,New Zealand,,,,,,,,,,,,
1115799,2018-01-01,Bay Oval,Mount Maunganui,,New Zealand,West Indies,,,,,,,,,,,,,
1115800,2018-01-03,Bay Oval,Mount Maunganui,,New Zealand,West Indies,New Zealand,,,,,,,,,,,,
1115807,2018-01-22,Westpac Stadium,Wellington,,Pakistan,New Zealand,New Zealand,New Zealand,Pakistan,55,77,48,75,Babar Azam,41.0,Shadab Khan,24.0,,
1115808,2018-01-25,Eden Park,Auckland,,Pakistan,New Zealand,Pakistan,New Zealand,Pakistan,94,112,72,67,Babar Azam,50.0,Shadab Khan,26.0,18.0,
1115809,2018-01-28,Bay Oval,Mount Maunganui,,Pakistan,New Zealand,Pakistan,New Zealand,Pakistan,74,74,49,57,Fakhar Zaman,46.0,Faheem Ashraf,25.0,,
1117821,2017-09-12,Gaddafi Stadium,Lahore,,Pakistan,ICC World XI,Pakistan,ICC World XI,Pakistan,88,100,55,58,Babar Azam,86.0,Shadab Khan,25.0,12.0,
1117822,2017-09-13,Gaddafi Stadium,Lahore,,Pakistan,ICC World XI,ICC World XI,ICC World XI,Pakistan,32,68,25,53,Babar Azam,45.0,Shadab Khan,24.0,,
1117824,2017-09-15,Gaddafi Stadium,Lahore,,Pakistan,ICC World XI,Pakistan,ICC World XI,Pakistan,62,77,43,59,Babar Azam,48.0,Hasan Ali,24.0,15.0,
1119501,2017-10-07,JSCA International Stadium Complex,Ranchi,,Australia,India,India,Australia,,16,,24,,,,Kuldeep Yadav,24.0,,
1119502,2017-10-10,Barsapara Cricket Stadium,Guwahati,,India,Australia,Australia,Australia,India,46,19,24,21,Kuldeep Yadav,16.0,Kuldeep Yadav,24.0,27.0,
1119542,2018-06-27,Edgbaston,Birmingham,,England,Australia,England,,,,,,,,,,,,
1119543,2018-07-03,Old Trafford,Manchester,,England,India,India,England,India,24,102,24,55,KL Rahul,101.0,Kuldeep Yadav,24.0,78.0,
1119544,2018-07-06,Sophia Gardens,Cardiff,,India,England,England,England,India,37,6,25,8,KL Rahul,6.0,Kuldeep Yadav,24.0,31.0,
1119545,2018-07-08,County Ground,Bristol,,England,India,India,India,,19,,10,,KL Rahul,19.0,,,,
1120093,2017-11-01,Arun Jaitley Stadium,Delhi,,India,New Zealand,India,,,,,,,,,,,,
1120094,2017-11-04,Saurashtra Cricket Association Stadium,Rajkot,,New Zealand,India,New Zealand,India,New Zealand,30,53,25,25,,,AF Milne,25.0,23.0,
1120095,2017-11-07,Greenfield International Stadium,Thiruvananthapuram,,India,New Zealand,India,New Zealand,,10,,6,,,,Kuldeep Yadav,6.0,,
1120291,2017-10-26,Sheikh Zayed Stadium,Abu Dhabi,,Sri Lanka,Pakistan,Pakistan,Pakistan,Sri Lanka,8,45,19,52,Fakhar Zaman,6.0,Hasan Ali,22.0,,
1120292,2017-10-27,Sheikh Zayed Stadium,Abu Dhabi,,Sri Lanka,Pakistan,Pakistan,Pakistan,Sri Lanka,36,61,27,66,Shadab Khan,16.0,Hasan Ali,24.0,,
1120293,2017-10-29,Gaddafi Stadium,Lahore,,Pakistan,Sri Lanka,Pakistan,Pakistan,Sri Lanka,82,89,62,62,Babar Azam,34.0,Hasan Ali,25.0,,
1122285,2018-02-18,The Wanderers Stadium,Johannesburg,,India,South Africa,India,,,,,,,,,,,,
1122286,2018-02-21,SuperSport Park,Centurion,,India,South Africa,South Africa,,,,,,,,,,,,
1122287,2018-02-24,Newlands,Cape Town,,India,South Africa,India,,,,,,,,,,,,
1122729,2017-12-20,Barabati Stadium,Cuttack,,India,Sri Lanka,India,India,Sri Lanka,63,18,49,26,KL Rahul,61.0,Kuldeep Yadav,24.0,45.0,
1122730,2017-12-22,Holkar Cricket Stadium,Indore,,India,Sri Lanka,India,India,Sri Lanka,91,53,51,25,KL Rahul,89.0,Kuldeep Yadav,25.0,38.0,
