match_id,date,player_name,team,opponent_team,runs,balls,fours,sixes,dismissals,strike_rate,balls_bowled,runs_conceded,wickets,economy,form_batting_5,form_bowling_5,rolling_index,fantasy_points
1472526,2025-08-02,A Athanaze,West Indies,Pakistan,2.0,4.0,0.0,0.0,4.0,50.0,0.0,0.0,0.0,0.0,,,,2.0
1472527,2025-08-03,A Athanaze,West Indies,Pakistan,60.0,40.0,8.0,1.0,40.0,150.0,0.0,0.0,0.0,0.0,,,,70.0
1505125,2025-10-27,A Athanaze,West Indies,Bangladesh,34.0,30.0,4.0,1.0,30.0,113.33,0.0,0.0,0.0,0.0,,,,40.0
1505126,2025-10-29,A Athanaze,West Indies,Bangladesh,52.0,33.0,5.0,3.0,33.0,157.58,0.0,0.0,0.0,0.0,,,,63.0
1505127,2025-10-31,A Athanaze,West Indies,Bangladesh,1.0,8.0,0.0,0.0,8.0,12.5,0.0,0.0,0.0,0.0,29.8,0.0,17.88,1.0
1502748,2025-09-28,A Augastin,Unknown,Uganda,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,,,,25.0
1502755,2025-10-02,A Augastin,Tanzania,Namibia,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0,,,,25.0
660113,2013-11-16,A Bagai,Canada,Ireland,19.0,15.0,0.0,0.0,15.0,126.67,0.0,0.0,0.0,0.0,,,,19.0
1142504,2018-06-17,A Balbirnie,Ireland,Scotland,2.0,3.0,0.0,0.0,3.0,66.67,0.0,0.0,0.0,0.0,,,,2.0
1172506,2019-02-13,A Balbirnie,Ireland,Oman,5.0,8.0,0.0,0.0,8.0,62.5,0.0,0.0,0.0,0.0,,,,5.0
1168521,2019-07-12,A Balbirnie,Ireland,Zimbabwe,1.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,,,1.0
1200426,2019-09-17,A Balbirnie,Ireland,Scotland,17.0,8.0,3.0,0.0,8.0,212.5,0.0,0.0,0.0,0.0,,,,20.0
1197522,2019-10-06,A Balbirnie,Ireland,Oman,14.0,9.0,3.0,0.0,9.0,155.56,0.0,0.0,0.0,0.0,7.8,0.0,4.68,17.0
1197526,2019-10-09,A Balbirnie,Ireland,Nepal,26.0,17.0,5.0,0.0,17.0,152.94,0.0,0.0,0.0,0.0,12.6,0.0,7.56,31.0
1199523,2019-10-23,A Balbirnie,Ireland,Canada,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.6,0.0,6.96,0.0
1199548,2019-11-02,A Balbirnie,Ireland,Namibia,6.0,3.0,1.0,0.0,3.0,200.0,0.0,0.0,0.0,0.0,12.6,0.0,7.56,7.0
1273722,2021-10-22,A Balbirnie,Ireland,Namibia,1.0,3.0,0.0,0.0,3.0,33.33,0.0,0.0,0.0,0.0,9.4,0.0,5.64,1.0
1291187,2021-12-22,A Balbirnie,Ireland,United States of America,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,3.96,0.0
1299594,2022-02-12,A Balbirnie,Ireland,Oman,54.0,36.0,5.0,3.0,36.0,150.0,0.0,0.0,0.0,0.0,12.2,0.0,7.32,65.0
1299581,2022-02-22,A Balbirnie,Ireland,Oman,12.0,9.0,3.0,0.0,9.0,133.33,0.0,0.0,0.0,0.0,14.6,0.0,8.76,15.0
1303308,2022-06-28,A Balbirnie,Ireland,India,2.0,5.0,0.0,0.0,5.0,40.0,0.0,0.0,0.0,0.0,13.8,0.0,8.28,2.0
1384637,2023-08-20,A Balbirnie,Ireland,India,39.0,26.0,5.0,1.0,26.0,150.0,0.0,0.0,0.0,0.0,21.4,0.0,12.84,46.0
1408103,2023-12-07,A Balbirnie,Ireland,Zimbabwe,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.4,0.0,12.84,0.0
